#,slug,name,state,cluster,filename,save_path,dimensions,format,status,full_prompt
1,adi-kailash,Adi Kailash,Uttarakhand,Garhwal — sacred peaks,adi-kailash.jpg,apps/web/public/images/destinations/adi-kailash.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The 5,945m snow-faced pyramid of Adi Kailash (Chhota Kailash) rising over the high-altitude Jolingkong meadow and the sacred Gauri Kund (Parvati Tal) reflecting the peak at dawn, Kumaon's far-eastern Himalayas near the Tibet border. Cold blue sky, low golden light raking the snow, brown alpine grass in the foreground, a few stone cairns and prayer flags weathered by wind. Empty landscape, no people. Documentary editorial."
2,kinner-kailash,Kinner Kailash,Himachal Pradesh,Garhwal — sacred peaks,kinner-kailash.jpg,apps/web/public/images/destinations/kinner-kailash.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The 6,050m granite massif of Kinner Kailash above Kalpa village, Himachal Pradesh, with the distinctive 79-foot vertical Shivling-shaped rock formation on its face catching first sunrise. Apple orchards and slate-roofed Kinnauri houses in the mid-ground, Satluj valley falling away. Crisp morning air, pink-gold light on the snow, deep shadow on the valley. Editorial documentary."
3,shrikhand-mahadev,Shrikhand Mahadev,Himachal Pradesh,Garhwal — sacred peaks,shrikhand-mahadev.jpg,apps/web/public/images/destinations/shrikhand-mahadev.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The 5,155m Shrikhand Mahadev peak in Kullu, Himachal Pradesh, with its summit Shivling-shaped rock spire piercing a clear high-altitude sky. Foreground of scree, late-summer alpine flowers, a single weathered trail-marker stone. Hard sunlight on rock, deep cool shadow on the snow patches. Severe, magazine-cover composition. No people."
4,manimahesh-kailash,Manimahesh Kailash,Himachal Pradesh,Garhwal — sacred peaks,manimahesh-kailash.jpg,apps/web/public/images/destinations/manimahesh-kailash.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The sacred peak Manimahesh Kailash (5,653m) in Bharmour, Chamba, mirrored in the still surface of Manimahesh Lake at first light. Stone offerings and a faint dirt path along the lake edge in the foreground, brown alpine grass, a few unmanned brass trishuls planted in cairns. Cold high-altitude blue sky, golden-pink alpenglow on the snow face. Reverent, empty, documentary."
5,mansarovar-kailash,Mansarovar Kailash,Uttarakhand,Garhwal — sacred peaks,mansarovar-kailash.jpg,apps/web/public/images/destinations/mansarovar-kailash.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The unmistakable black pyramidal mass of Mt Kailash rising beyond the turquoise expanse of Lake Mansarovar, seen from the Indian-side approach at Lipulekh / Nabhidhang. Vast trans-Himalayan plateau, ochre and grey ground, faint snow streaks on Kailash's south face. Cold thin-air light, crystal clarity, no people, no structures. Pilgrimage stillness."
6,vishnuprayag,Vishnuprayag,Uttarakhand,Garhwal — Panch Prayag,vishnuprayag.jpg,apps/web/public/images/destinations/vishnuprayag.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The confluence of the Alaknanda and Dhauliganga rivers in a steep grey-stone gorge near Joshimath, milky glacial water of the Alaknanda meeting the darker Dhauliganga, foaming where they merge. Iron suspension footbridge crossing high above, deodar slopes climbing on either side, faint Garhwal village rooftops on the far bank. Soft overcast monsoon-edge light, mist on the gorge walls. Documentary, no figures."
7,nandaprayag,Nandaprayag,Uttarakhand,Garhwal — Panch Prayag,nandaprayag.jpg,apps/web/public/images/destinations/nandaprayag.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The confluence of the Alaknanda and Nandakini rivers below Nandaprayag town, Garhwal — wide turquoise sangam, broad pebble shoals, stone ghats descending from the slope, a small white shikhara temple on the bluff above. Pine-clad ridges in soft hazy afternoon light, smoke from one chulha rising thin from the town. Editorial, no posing figures."
8,karnaprayag,Karnaprayag,Uttarakhand,Garhwal — Panch Prayag,karnaprayag.jpg,apps/web/public/images/destinations/karnaprayag.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The confluence of the milky Alaknanda and emerald Pindar rivers at Karnaprayag, Garhwal — two distinct colours visibly merging into one stream, terraced stone ghats, an old red-and-white temple cluster on the spur above, hillside town of slate roofs climbing the slope behind. Late-afternoon side light, deep depth of field. Documentary calm."
9,palani,Palani,Tamil Nadu,South — Arupadai Veedu + Tirumala,palani.jpg,apps/web/public/images/destinations/palani.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The Murugan Arulmigu Dhandayuthapani temple crowning the Palani hilltop, Tamil Nadu, with its gold-leaf vimana shrine catching pre-sunset light against a dry-blue sky. The famous 693 stone steps zigzagging down the rock face in the mid-ground. Coconut palms and a dusty plains town spreading away into haze below. Editorial, no pilgrims posing. Warm muted south-Indian palette."
10,tiruparankundram,Tiruparankundram,Tamil Nadu,South — Arupadai Veedu + Tirumala,tiruparankundram.jpg,apps/web/public/images/destinations/tiruparankundram.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The Arupadai Veedu Tiruparankundram Murugan temple carved directly into the base of the monolithic granite Parankundram hill near Madurai, Tamil Nadu, white-and-red striped Dravidian gopuram set against the bare rock face. A small temple tank in the foreground with stone steps and a single granite mandapam. Late-afternoon warm light raking the rock. Editorial, empty courtyard."
11,tiruchendur,Tiruchendur,Tamil Nadu,South — Arupadai Veedu + Tirumala,tiruchendur.jpg,apps/web/public/images/destinations/tiruchendur.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The Tiruchendur Subramaniya Swamy temple right on the shore of the Bay of Bengal, Thoothukudi district, Tamil Nadu — multi-tiered Dravidian gopuram in white and bright temple-red, ocean waves breaking on the rocks immediately beside the temple wall, wet black sand. Soft pre-monsoon overcast sea light, salty mist. Empty beach, no figures. Magazine cover quality."
12,swamimalai,Swamimalai,Tamil Nadu,South — Arupadai Veedu + Tirumala,swamimalai.jpg,apps/web/public/images/destinations/swamimalai.jpg,1376×768,"JPG, ≤350 KB, sRGB",pending,"Photoreal 16:9 editorial travel photograph, 1376×768. Documentary style — 35mm film grain, slightly muted natural colours, soft contrast, deep depth of field. Soft early-morning or late-afternoon light unless otherwise specified. No people posing, no text, no logos, no captions. Calm, credible, magazine cover quality. Composition leaves the lower-third slightly darker / less detailed so an editorial title overlay can sit there cleanly.

The Swamimalai Murugan temple on its low artificial hill in the Cauvery delta near Thanjavur, Tamil Nadu — squat ochre-and-white Dravidian gopuram visible above lush coconut palms, the wide green Cauvery (Kaveri) river with paddy fields and a stone ghat in the foreground. Golden-hour late light, soft river haze. Documentary, no posing figures."
