#,slug,place,region,appears in,identity (real landmark),DETAILED IMAGE PROMPT,negative prompt,style notes,aspect ratio,reference photo (Wikimedia Commons),ref license,ref author,save as,then run
1,diskit,Diskit,"Nubra Valley, Ladakh",Ladakh Express 7d · Khardung La–Nubra Loop,Diskit Gompa + the 32 m Maitreya Buddha statue over the Shyok valley,"The Diskit Monastery (Diskit Gompa) with the giant 32-metre golden-ochre statue of the Maitreya (Jampa) Buddha seated on a hilltop and facing down the Shyok river valley in Nubra, Ladakh. Whitewashed multi-tier monastery buildings climb the rocky brown ridge behind the statue, strings of prayer flags, barren high-desert mountains and distant snow peaks under a deep blue sky; warm morning light on the statue.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:Diskit_Monastery_%26_Maitreya_Buddha_Statue_04.jpg,CC BY-SA 4.0,Deepank Ranka,apps/web/public/images/destinations/diskit.jpg,node scripts/upload-images.mjs
2,hunder,Hunder,"Nubra Valley, Ladakh",Ladakh Express 7d · Khardung La–Nubra Loop,White cold-desert sand dunes with Bactrian camels,"The white-silver cold-desert sand dunes of Hunder in the Nubra Valley, Ladakh, a caravan of double-humped Bactrian camels crossing the rippled sand, patches of green village and poplar trees, the braided Shyok river, and snow-dusted Karakoram peaks rising behind. Warm late-afternoon light, long shadows on the dunes.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)","https://commons.wikimedia.org/wiki/File:Shyok_river_at_Hunder,_Nubra_valley.jpg",CC BY-SA 4.0,Rupak Sarkar,apps/web/public/images/destinations/hunder.jpg,node scripts/upload-images.mjs
3,thiksey,Thiksey,"Indus Valley, Ladakh",Ladakh Express 7d,12-storey monastery resembling a mini-Potala over the Indus valley,"Thiksey Monastery, Ladakh — a twelve-storey whitewashed complex with red and ochre temple buildings cascading down a hill like a miniature Potala Palace, overlooking the green barley fields of the Indus valley, brown mountains and snow peaks beyond, clear blue sky, soft golden light.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)","https://commons.wikimedia.org/wiki/File:View_of_Indus_Valley_from_Thikse_Gompa,_Ladakh,_India.jpg",CC BY-SA 3.0,Ingo Mehling,apps/web/public/images/destinations/thiksey.jpg,node scripts/upload-images.mjs
4,hemis,Hemis,Ladakh,Ladakh Express 7d,Ladakh's largest monastery in a hidden gorge,"Hemis Monastery, Ladakh — the large whitewashed Drukpa-lineage gompa with dark-framed windows and golden roof ornaments, set in a hidden side-valley gorge ringed by steep brown mountains, prayer flags and a stone-paved courtyard, warm daylight.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:Hemis_Gompa_-_Prayer_Hall.jpg,CC BY-SA 3.0,Ingo Mehling,apps/web/public/images/destinations/hemis.jpg,node scripts/upload-images.mjs
5,tabo,Tabo,"Spiti Valley, Himachal Pradesh",Spiti circuit,"1,000-year-old mud-brick monastery, the 'Ajanta of the Himalayas'","Tabo Monastery on the Spiti valley floor, Himachal Pradesh — ancient low mud-brick (adobe) temples and earthen chortens with flat roofs, the 'Ajanta of the Himalayas', ringed by dry brown mountains with the Spiti river below, soft clear high-altitude light.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:Caves_of_Tabo_Monastery_WLM22-07689.jpg,CC BY-SA 4.0,Schwiki,apps/web/public/images/destinations/tabo.jpg,node scripts/upload-images.mjs
6,sam-sand-dunes,Sam Sand Dunes,"Jaisalmer, Rajasthan",Rajasthan desert route,Golden Thar-desert dunes with camel caravan at sunset,"The Sam Sand Dunes of the Thar desert near Jaisalmer, Rajasthan — golden rippled dunes at sunset, a silhouetted camel caravan on the crest, warm orange and amber light, a vast desert horizon, a lone desert shrub in the foreground.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:Sam_dunes_(Jaisalmer).jpg,CC BY-SA 4.0,Roshanrajverma,apps/web/public/images/destinations/sam-sand-dunes.jpg,node scripts/upload-images.mjs
7,bir,Bir,"Kangra, Himachal Pradesh",Himachal route,Chokling Monastery + Tibetan colony under the Dhauladhar,"Bir, Himachal Pradesh — the Chokling Monastery with its golden pagoda roof and white stupa in the Tibetan colony, surrounded by green tea gardens and terraced fields, the snow-capped Dhauladhar range behind, a few colourful paragliders high in the sky, soft afternoon light.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)","https://commons.wikimedia.org/wiki/File:Chokling_Monastery,_External_View.jpg",CC BY 4.0,Brahmavadini,apps/web/public/images/destinations/bir.jpg,node scripts/upload-images.mjs
8,billing,Billing,"Kangra, Himachal Pradesh",Himachal route,Paragliding take-off ridge above the Kangra valley,"The Billing take-off meadow above Bir, Himachal Pradesh — a green grassy launch ridge at ~2400 m with colourful paragliders lifting off and soaring over the wide Kangra valley below, the Dhauladhar snow peaks behind, bright clear sky, a sweeping vista from the ridge edge.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:View_on_a_mountains_and_valley_from_Bir-Billing_(01).JPG,CC BY-SA 3.0,Okorok,apps/web/public/images/destinations/billing.jpg,node scripts/upload-images.mjs
9,sumur,Sumur,"Nubra Valley, Ladakh",Khardung La–Nubra Loop,Samstanling Monastery + green Nubra oasis village,"Sumur village and the Samstanling Monastery in the Nubra Valley, Ladakh — a whitewashed gompa with golden roof accents amid a green oasis of poplar trees and barley fields, sand flats and brown desert mountains with snow peaks beyond, warm morning light.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",https://commons.wikimedia.org/wiki/File:Nubra_Beauty_(228755305).jpg,CC BY 3.0,Pratik Chopade,apps/web/public/images/destinations/sumur.jpg,node scripts/upload-images.mjs
10,panamik,Panamik,"Nubra Valley, Ladakh",Khardung La–Nubra Loop,Northernmost Nubra village with sulphur hot springs,"Panamik, the northernmost village of the Nubra Valley, Ladakh — green terraced barley fields and poplar groves beside the wide braided Nubra river, the sulphur hot-spring hillside, stone-and-mud houses, ringed by high brown mountains and snow peaks, clear bright light.","text, caption, watermark, logo, signboard, fictional or distorted architecture, wrong landmark, extra limbs, deformed, cartoon, illustration, 3D render, oversaturated HDR, modern billboards, cars in foreground, tourists posing, blurry, low-res, fantasy elements","Photorealistic travel-documentary photograph, full-frame DSLR ~24mm, natural colour, golden-hour warm light, deep depth of field, cinematic wide composition with foreground interest, keep the LOWER THIRD visually calm/uncluttered for a text overlay, no people dominating the frame, authentic to the real location.","4:5 portrait, min 1080x1350 (2160x2700 preferred)",,,,apps/web/public/images/destinations/panamik.jpg,node scripts/upload-images.mjs
