slug,festival_name,destination,state,month,bucket,footage_family,currently_live,note
bissu-mela-jaunsar-bawar-new-year,Bissu Mela (Jaunsar-Bawar New Year),Chakrata,uttarakhand,April,FAMILY,colonial-christian,yes,Lights / church / parade.
bonderam-festival,Bonderam Festival,Chorao & Divar Islands,goa,August,FAMILY,colonial-christian,yes,Lights / church / parade.
bastille-day-celebration,Bastille Day Celebration,Pondicherry (Puducherry),puducherry,July,FAMILY,colonial-christian,yes,Lights / church / parade.
christmas-at-medak-cathedral,Christmas at Medak Cathedral,Medak,telangana,December,FAMILY,colonial-christian,yes,Lights / church / parade.
christmas-carnival,Christmas Carnival,Port Blair (Sri Vijaya Puram),andaman nicobar,December,FAMILY,colonial-christian,yes,Lights / church / parade.
bastille-day,Bastille Day,Puducherry (Pondicherry),puducherry,July,FAMILY,colonial-christian,yes,Lights / church / parade.
nowruz-balti-new-year,Nowruz (Balti New Year),Turtuk,ladakh,March,FAMILY,colonial-christian,yes,Lights / church / parade.
dev-deepawali,Dev Deepawali,Varanasi,uttar pradesh,November,FAMILY,diwali,yes,Diyas / lamps at night.
deepotsav,Deepotsav,Ayodhya,uttar pradesh,November,FAMILY,diwali,yes,Diyas / lamps at night.
chitrakoot-deepotsav,Chitrakoot Deepotsav,Chitrakoot,uttar pradesh,October,FAMILY,diwali,yes,Diyas / lamps at night.
gangotri-diwali-temple-closing,Gangotri Diwali (Temple Closing),Gangotri,uttarakhand,October,FAMILY,diwali,yes,Diyas / lamps at night.
tihar-deepawali,Tihar (Deepawali),Darjeeling,west bengal,October,FAMILY,diwali,yes,Diyas / lamps at night.
laksha-deepotsava,Laksha Deepotsava,Dharmasthala,karnataka,November,FAMILY,diwali,yes,Diyas / lamps at night.
diwali-beach-celebration,Diwali Beach Celebration,Havelock Island (Swaraj Dweep),andaman nicobar,October,FAMILY,diwali,yes,Diyas / lamps at night.
tulip-festival,Tulip Festival,Srinagar,jammu kashmir,April,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
rose-festival,Rose Festival,Chandigarh,chandigarh,February,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
bangus-spring-bloom-festival,Bangus Spring Bloom Festival,Bangus Valley,jammu kashmir,May,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
kaas-plateau-wildflower-bloom,Kaas Plateau Wildflower Bloom,Satara,maharashtra,September,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
neelakurinji-bloom,Neelakurinji Bloom,Munnar,kerala,September,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
