"format_id","post_type","platform","pillar","inspired_by","hook_template","caption_template","cta_template","data_inputs","pomelli_prompt","image_prompt","video_prompt","asset_aspect","max_freq_per_month","notes"
"v2_pov_slow_morning","reel","ig+fb","moment","Tanya Khanijow","The slowest hour in {dest_name}.","No alarms. No itinerary. Just {state}'s quietest light.

{tagline}

This month: {note}

Go early. Stay still — {dest_name} rewards the people who do.","Comment SUNRISE if you'd wake up here.","dest_name|state|tagline|note","1:1 square slide 1 of 3 carousel. Centred Fraunces italic title '{dest_name}' 96pt vermillion #C73A2C on warm ivory #F4ECE2 background. State name above in Crimson Pro 32pt charcoal #1A1A1A. Score chip bottom-right 56pt JetBrains Mono on saffron #F4A02C pill. 60% top whitespace, text in lower third. 12pt grain texture overlay. No images, no destination photos — text card only.","Photorealistic 9:16 still of mist rising off a Himalayan lake at 5:47am near {dest_name}, {state}. Soft pink-orange dawn light from camera-left, deep teal water, dark pine silhouettes at edges. Shot on 35mm film stock, slight grain, muted desaturated palette — peach + navy + bone. NO text, NO people, NO logos. Composition: foreground rocks lower-third, lake mid-frame, mountains background. Style: cinematic, contemplative, Tanya Khanijow aesthetic.","8-second cinematic 9:16 vertical clip: slow drone pull-back from a single dewdrop on a pine needle in foreground revealing a Himalayan valley at first light near {dest_name}, {state}. Dawn pink-blue palette. Subtle mist drift across the valley floor. No music, only ambient wind. 24fps cinematic shutter, slight handheld float. End frame: wide valley with {dest_name} burned-in lower-third in Fraunces italic 64pt bone-white.","9:16","3","Hindi variant available: caption Hindi-first, English subtitle line 2. Skip if sunrise_time field null or dest has no high-altitude POI (no Goa, no plains). [2026-05-20 revised: uses existing data only (tagline + monthly note). No sunrise_time/nearest_landmark needed — fires on any dest.]"
"v2_thali_close_up","carousel","ig+fb","moment","Visa2explore","The dish worth the trip to {dest_name}.","{eatery_name} — {dest_name}, {state}.

What to order: {hero_dish}.

Not a sponsored pick. It's the kitchen our field check kept coming back to.

{dest_name} this month: {note}","Comment THALI for more verified family kitchens in {state}.","dest_name|state|eatery_name|hero_dish|note","4:5 carousel slide 1 of 4. Big serif title 'Eaten here' Fraunces italic 88pt vermillion #C73A2C. Below: '{eatery_name} · since {years_open}' Crimson Pro 36pt charcoal. ₹{price_inr} as a chunky saffron #F4A02C pill bottom-right, JetBrains Mono 56pt. Warm ivory #F4ECE2 background. Slight paper-noise texture. No photos.","Overhead 4:5 photorealistic shot of a {thali_name} on a brass plate, shot top-down on a worn wooden family-kitchen table in {dest_name}, {state}. Steam visible rising from {hero_dish}. Small steel bowls of {accompaniments} arranged around the centre. Window light from upper-left, warm tungsten fill. Slight blur on edges, sharp on the main dish. Style: documentary food photography, 35mm, film grain. NO text, NO logos, NO menu cards in frame.","6-second 4:5 clip: hands in foreground tearing roti and dipping into {hero_dish} on a brass plate. Macro lens, shallow depth of field. Family-kitchen ambient sound — pressure cooker hiss, distant Hindi conversation, no music. Warm tungsten + window light mix. Final second: hand pulls back revealing full thali. No on-screen text.","4:5","4","Hindi variant available — Devanagari title 'यहाँ खाया' on slide 1. Skip if eatery has no price_inr OR address is generic (must be a real walk-in spot, not a chain). Pair with eateries_pick data. [2026-05-20 revised: uses the legendary entry from local_eateries (eatery_name + hero_dish, surfaced flat by /api/content) + monthly note. No net-new eatery fields needed.]"
"v2_route_animated_map","reel","ig+fb+yt_short","discovery","Tanya Khanijow","{route_name}. {total_days} days. {total_km} km. {stop_count} stops.","Day 1: {stop_1_name} — {stop_1_note}
Day 2: {stop_2_name} — {stop_2_note}
Day 3: {stop_3_name} — {stop_3_note}
Day 4: {stop_4_name} — {stop_4_note}
Day 5: {stop_5_name} — {stop_5_note}

Best window: {best_months}. Avoid: {avoid_months}.
Permits: {permit_note}.
Bike-friendly: {bike_friendly}.","Comment the stop you'd skip — we'll DM you the next one.","route_name|total_days|total_km|stop_count|stop_1_name|stop_1_note|stop_2_name|stop_2_note|stop_3_name|stop_3_note|stop_4_name|stop_4_note|stop_5_name|stop_5_note|best_months|avoid_months|permit_note|bike_friendly","9:16 vertical map card. Hand-drawn India outline in vermillion #C73A2C ink-line style on ivory #F4ECE2 paper-texture background. 5 numbered route dots in saffron #F4A02C, connected by dashed line. Each dot has a small label: '01 {stop_1_name}', '02 {stop_2_name}', etc. Title top: '{route_name}' Fraunces italic 72pt charcoal. Subtitle: '{total_days} days · {total_km} km'. Bottom: 'nakshiq.com' small in Instrument Sans 24pt charcoal.","","15-second 9:16 animated map reveal. Start with blank ivory paper, India outline draws itself in vermillion ink. Then 5 route stops appear one by one in saffron — each labelled '{stop_n_name}'. Dashed connecting line draws between stops. Slow zoom-in on each stop revealing a 1-sec photo card overlay of that destination. End frame: full route visible, title '{route_name}' bottom-third in Fraunces italic. Acoustic guitar music, no voiceover. 24fps.","9:16","2","Hindi variant available — labels in Devanagari + Hindi voiceover describing the route. Skip if route has <4 verified stops or permits field is unclear. Pulls from /api/content?type=routes."
"v2_hindi_score_card","single","ig+fb","verdict","Mountain Trekker","{name_hi}, {month_hindi} में: {score}/5","इस महीने {name_hi} जाना है?

स्कोर: {score}/5
ठहरने का खर्च: ₹{price_range_inr}/रात
क्यों जाएं: {why_special_hi}

{tagline}","{name_hi} गए हो? कमेंट में बताओ कब.","name_hi|month_hindi|score|price_range_inr|why_special_hi|tagline","1:1 square. Big Devanagari title '{dest_name}' Mukta serif 96pt vermillion #C73A2C. Subtitle '{month_hindi} में' Crimson Pro 40pt charcoal. Massive score chip centre-right: '{score}/5' JetBrains Mono 144pt on saffron #F4A02C pill. Below in Devanagari: 4 small stat lines with mausam/bheed/kharcha/kyon. Ivory #F4ECE2 background. Bottom-right corner: small 'nakshiq.com' in Instrument Sans 22pt.","","","1:1","4","Hindi-led format — primary audience tier-2/3 Indian cities. English one-liner kept short as code-switch hook. Skip if any Devanagari field missing. Translation must use natural Hindi, not Google-MT. [2026-05-20 revised: caption now uses existing data only (translations.hi name + why_special, score, confidence_cards sleep price, English tagline) — no net-new editorial fields. Fires on the 414 dests with Hindi why_special.]"
"v2_ugc_spotlight","single","ig_only","discovery","Tripoto Community","Spotted in {dest_name}, {state} this {month_name}.","{dest_name}, {state}.

What we flagged: {tagline}

Why it's on the radar: {why_special}

Score this {month_name}: {score}/5.","Comment 📍 if you'd add this to your week.","dest_name|state|tagline|why_special|score|month_name","4:5 vertical. The submitted UGC photo fills 80% of frame. Bottom 20% is an ivory #F4ECE2 strip with: '@{creator_handle} · {dest_name}' in Instrument Sans 32pt charcoal, score chip '{score}/5' in vermillion JetBrains Mono 40pt right-aligned. Thin saffron #F4A02C 1px divider line between photo and strip. No other text.","","","4:5","6","Rewired 2026-05-25 — UGC creator-handle/quote framing dropped (no UGC pipeline). Repurposed to founder-spotted discovery card using dest.tagline + why_special + score."
"v2_wildlife_moment","reel","ig+fb","moment","Varun Aditya","{dest_name}. Wildlife at the edge of the trail.","{tagline}

What to expect this {month_name}: {note}

Why it matters: {why_special}

NakshIQ score: {score}/5.","Comment your last sighting in {state}.","dest_name|state|tagline|note|why_special|score|month_name","","Photorealistic 9:16 vertical close-up of {species_name} in its natural habitat at {dest_name}, {state}. Sharp focus on the animal's eye, soft bokeh background. Golden hour light from camera-left. Animal is calm, not threatened. Documentary wildlife style — Frans Lanting / Varun Aditya aesthetic. Muted earth-tone palette. NO text, NO logos, NO people, NO captive-setting clues (no fences, no cages).","10-second 9:16 clip: slow lateral pan revealing {species_name} in frame at {dest_name}. Animal moves naturally — turns head, blinks. Natural ambient sound — distant bird calls, wind. No music. End frame: animal looks toward camera then turns away. Burned-in lower-third caption '{species_name} · {dest_name}' Fraunces italic 48pt ivory. 24fps cinematic. Telephoto lens look.","9:16","3","Rewired 2026-05-24 — dispatcher filters dests whose note/why_special mentions wildlife (sanctuary, national park, big cat, tiger, leopard, bird, safari)."
"v2_texture_macro","single","ig+fb","moment","original","{texture_subject}. {dest_name}.","{texture_subject} — outside {nearest_landmark}.

Notice the {detail_1}. The {detail_2}.

We walked past this twice before stopping.","Comment what your eye went to first.","texture_subject|dest_name|state|nearest_landmark|detail_1|detail_2","","Photorealistic 1:1 square macro shot of {texture_subject} in {dest_name}, {state}. Extreme close-up, every grain/thread visible. Natural daylight, slightly desaturated film palette. Background completely out of focus. Composition: rule of thirds, texture fills frame. NO text, NO logos, NO people. Style: Wim Wenders / Steve McCurry documentary detail shot.","5-second 1:1 clip: extreme slow zoom-in on {texture_subject}, {dest_name}. Ambient sound only — wind, distant temple bell, no music. Final 2 seconds hold on tightest crop. No on-screen text in clip. 24fps cinematic.","1:1","3","Aesthetic-first, low data requirement. Good filler for slow days. Skip if texture_subject is generic ('a wall' won't work — needs 'a 200-year-old rosewood door knocker in Athangudi')."
"v2_budget_receipt","single","ig+fb","verification","Mountain Trekker","What a night in {dest_name} actually costs.","{dest_name}, {state} — the real number, not the brochure.

Stays here run ₹{price_range_inr}/night. That's the verified range across hotels and guesthouses on the ground — not a sponsored pick.

This month: {note}

NakshIQ re-checks price, weather, roads, crowds and signal every month.","Comment your destination — we'll pull its real cost range next.","dest_name|state|price_range_inr|note","1:1 square styled as a receipt on white #F8F6F1 paper texture. Header in monospace JetBrains Mono 28pt: 'NAKSHIQ FIELD LEDGER'. Below: '{dest_name} · Day {day_number} · {verification_date}'. Five line items aligned with dotted leaders to ₹ amounts on the right (stay/food/transport/entry/misc). Bottom thick double-line then 'TOTAL ₹{day_total_inr}' in JetBrains Mono Bold 56pt vermillion #C73A2C. Subtle coffee-stain texture in one corner. Slightly rotated 2° for hand-printed feel.","Photorealistic 1:1 of an actual handwritten travel-budget notebook page on a wooden cafe table in {dest_name}. Black ink, neat columns of expenses with ₹ amounts. Coffee cup blurred top-right. Window light from left. Style: travel-journal documentary photography, muted palette. NO text legible enough to fabricate amounts — keep values blurred so the Pomelli card carries the actual breakdown.","","1:1","4","Hindi variant: receipt header 'नक्षिक़ बजट हिसाब' Devanagari. Skip if any ₹ field is null — fabricated budgets kill trust. verification_date must be within 6 months. [2026-05-20 revised: uses confidence_cards sleep price_range_inr + monthly note. No day-by-day breakdown fields needed — fires on ~484 dests with a stay price.]"
"v2_cost_vs_feeling","carousel","ig+fb","verification","original","₹{cost_inr} bought us {feeling_phrase} in {dest_name}.","Slide 1: the receipt.
Slide 2: the moment.

₹{cost_inr} = {experience_summary}.

{dest_name}, {state}. {verification_date}.
Score this month: {score}/5.","Comment ₹ for the next 3 dests where this still works.","cost_inr|feeling_phrase|dest_name|state|experience_summary|verification_date|score","4:5 carousel slide 1. Split vertically: left half ivory #F4ECE2 with '₹{cost_inr}' in JetBrains Mono Bold 144pt vermillion #C73A2C. Right half saffron #F4A02C with '{feeling_phrase}' in Fraunces italic 64pt ivory, wrapped to 3 lines max. Thin 1px charcoal vertical divider between halves. Bottom-strip: '{dest_name} · {state}' Instrument Sans 28pt charcoal.","Photorealistic 4:5 image for slide 2 of carousel. The unstaged real moment at {dest_name} that the cost bought — could be a quiet cafe table, a foot in a stream, a thali, a sunset bench. Documentary photography, no humans posing, no logos visible. Natural light. Slight film grain. NO text overlay.","","4:5","3","feeling_phrase must be specific not generic ('30 silent minutes at Khajjiar', not 'peace'). Skip if cost_inr is null OR feeling_phrase is influencer-cliche. Pair with cost_index data."
"v2_myth_bust_oneline","reel","ig+fb","anti_trap","Tanya Khanijow","Most reels about {dest_name}: pretty visuals only.","What you've read: {tagline}

What NakshIQ verified for {month_name}: {note}

Score: {score}/5.","Comment the dest whose hype doesn't match what you saw.","dest_name|state|tagline|note|score|month_name","9:16 vertical. Top half: '{myth_question}' in Fraunces italic 80pt ivory on deep charcoal #1A1A1A background with subtle grain. Bottom half: '{short_answer}' in Instrument Sans Bold 96pt vermillion #C73A2C on ivory #F4ECE2. A thin 2px saffron divider between halves. Bottom-right corner small 'nakshiq.com · verified {verification_date}' in Instrument Sans 20pt charcoal.","","6-second 9:16. Open on a black frame with '{myth_question}' typing in white serif Fraunces italic 80pt over 2s. Cut to white frame with '{short_answer}' large in vermillion Instrument Sans Bold 96pt punching in for 2s. Final 2s: a static text card with the source ('Source: {source_note}'). No voiceover. Crisp ambient page-turn / typewriter SFX.","9:16","4","Rewired 2026-05-24 — uses dest.tagline + dest.note (the verified per-month note) instead of myth/answer fields not in catalog."
