festival_id,festival_slug,festival_name,destination,state,month_num,month_name,approximate_date,footage_family,has_real_footage,prompt_grounding,celebration,full_video_prompt,negative_prompt,reference_image_url,page_url_en
c6e005c1-5224-4845-83e2-574b9d097275,dev-deepawali,Dev Deepawali,Varanasi,uttar pradesh,11,November,Nov full moon (15 days after Diwali),diwali,yes,db-description,A million diyas light up all 84 ghats along the Ganga. Priests perform grand aarti. The entire riverfront becomes a cascade of fire.,"Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Dev Deepawali festival as celebrated in Varanasi, Uttar Pradesh. Celebration: A million diyas light up all 84 ghats along the Ganga. Priests perform grand aarti. The entire riverfront becomes a cascade of fire.. Key visuals: rows of lit clay oil-diyas and lantern light, colourful rangoli, families lighting lamps, fireworks over rooftops at night. cool early-winter light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/varanasi.jpg,https://www.nakshiq.com/en/festivals/dev-deepawali
446427d6-512c-4bab-a280-8aa0f66f0931,maha-shivaratri-varanasi,Maha Shivaratri,Varanasi,uttar pradesh,3,March,Late Feb / Early March,shivaratri,yes,db-description,Kashi Vishwanath Temple sees a million devotees. Processions through the narrow galis. Night-long worship.,"Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Maha Shivaratri festival as celebrated in Varanasi, Uttar Pradesh. Celebration: Kashi Vishwanath Temple sees a million devotees. Processions through the narrow galis. Night-long worship.. Key visuals: night-long temple vigil — oil lamps and aarti flames before a Shiva shrine, bel leaves and milk offerings, chanting crowds, processions. warm spring light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/varanasi.jpg,https://www.nakshiq.com/en/festivals/maha-shivaratri-varanasi
786c5c09-ebee-4633-a06c-2db00849957f,pushkar-camel-fair,Pushkar Camel Fair,Pushkar,rajasthan,11,November,Late Oct / Nov (5 days around Kartik Purnima),camel-fair,no,db-description,"50,000+ camels traded. Mustache competitions, longest turban contests, hot air balloons over the desert.","Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Pushkar Camel Fair as celebrated in Pushkar, Rajasthan. Celebration: 50,000+ camels traded. Mustache competitions, longest turban contests, hot air balloons over the desert.. Key visuals: thousands of decorated camels and turbaned traders on the desert fairground, folk music, moustache and turban contests, hot-air balloons over the dunes. cool early-winter light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/pushkar.jpg,https://www.nakshiq.com/en/festivals/pushkar-camel-fair
4e9ca43b-3af6-40a8-9cf3-a757f12e4731,desert-festival,Desert Festival,Jaisalmer,rajasthan,2,February,February (3 days),obscure,no,db-description,"Camel polo, turban-tying races, Mr. Desert competition, folk music under the stars at Sam Sand Dunes.","Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Desert Festival as celebrated in Jaisalmer, Rajasthan. Celebration: Camel polo, turban-tying races, Mr. Desert competition, folk music under the stars at Sam Sand Dunes.. clear late-winter light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/jaisalmer.jpg,https://www.nakshiq.com/en/festivals/desert-festival
42d12dbd-a18c-41b4-b54e-1a34dcca1590,mewar-festival,Mewar Festival,Udaipur,rajasthan,3,March,March / April (coincides with Gangaur),obscure,no,db-description,Women carry brass pots in procession. Boat procession on Lake Pichola. Cultural performances at City Palace.,"Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Mewar Festival as celebrated in Udaipur, Rajasthan. Celebration: Women carry brass pots in procession. Boat procession on Lake Pichola. Cultural performances at City Palace.. warm spring light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/udaipur.jpg,https://www.nakshiq.com/en/festivals/mewar-festival
00c6f168-3d80-4fe0-8d1f-19799d5d59dc,marwar-festival,Marwar Festival,Jodhpur,rajasthan,10,October,October (2 days around Sharad Purnima),obscure,no,db-description,Folk music and dance celebrating Rajasthani heroes under Mehrangarh Fort in full moonlight.,"Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Marwar Festival as celebrated in Jodhpur, Rajasthan. Celebration: Folk music and dance celebrating Rajasthani heroes under Mehrangarh Fort in full moonlight.. golden autumn light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/jodhpur.jpg,https://www.nakshiq.com/en/festivals/marwar-festival
7fa4369d-7e0b-41b3-8e6c-4751f4d88a50,international-yoga-festival,International Yoga Festival,Rishikesh,uttarakhand,3,March,March 1-7,obscure,no,db-description,"Hundreds of yoga teachers from 100+ countries at Parmarth Niketan. Free sessions, Ganga aarti.","Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the International Yoga Festival as celebrated in Rishikesh, Uttarakhand. Celebration: Hundreds of yoga teachers from 100+ countries at Parmarth Niketan. Free sessions, Ganga aarti.. warm spring light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/rishikesh.jpg,https://www.nakshiq.com/en/festivals/international-yoga-festival
e0a60b00-abba-4445-a670-ef40e3b8c068,baisakhi-amritsar,Baisakhi,Amritsar,punjab,4,April,April 13-14,newyear-harvest,no,db-description,Sikh New Year. Golden Temple lit up. Bhangra processions. Nagar Kirtan (holy procession).,"Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Baisakhi festival as celebrated in Amritsar, Punjab. Celebration: Sikh New Year. Golden Temple lit up. Bhangra processions. Nagar Kirtan (holy procession).. Key visuals: regional new-year celebration — festive attire, ceremonial first-fruits, folk dance, decorated thresholds. warm pre-summer light; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/amritsar.jpg,https://www.nakshiq.com/en/festivals/baisakhi-amritsar
2270012b-525c-4049-a0da-83694dec4f3b,hemis-festival,Hemis Festival,Leh,ladakh,6,June,June / July (2 days),monastery-cham,yes,db-description,"Cham dance with masked monks at Hemis Monastery. Sacred Thangkas displayed. Drums, horns, ritual drama.","Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Hemis Festival as celebrated in Leh, Ladakh. Celebration: Cham dance with masked monks at Hemis Monastery. Sacred Thangkas displayed. Drums, horns, ritual drama.. Key visuals: masked Buddhist monks in brocade robes performing the whirling Cham dance in a monastery courtyard, long dungchen horns, drums, prayer flags, seated crowds. clear high-altitude mountain light, sharp shadows; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/leh.jpg,https://www.nakshiq.com/en/festivals/hemis-festival
a7b0d856-b907-48b4-ae63-6aeadddd5937,ladakh-festival,Ladakh Festival,Leh,ladakh,9,September,September 1-15,obscure,no,db-description,"Polo matches, archery, traditional music, masked dances. Cultural performances at multiple monasteries.","Cinematic documentary-style video, 16:9, 6–8 seconds, authentic real-footage look, of the Ladakh Festival as celebrated in Leh, Ladakh. Celebration: Polo matches, archery, traditional music, masked dances. Cultural performances at multiple monasteries.. clear high-altitude mountain light, sharp shadows; show real people, actual rituals, decorations and crowds with genuine festive energy; vibrant true-to-life colour, natural handheld motion, shallow depth of field. No on-screen text, subtitles, captions, logos or watermarks; no distorted or extra faces/limbs; documentary realism, not cartoonish or AI-looking.","on-screen text, subtitles, captions, watermarks, logos, brand names, distorted faces, extra limbs, cartoonish, CGI sheen, oversaturated, low quality",https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/leh.jpg,https://www.nakshiq.com/en/festivals/ladakh-festival
