destination_id,month,locale,title_override,meta_description_override,status,applied_at
tungnath,may,en,"Tungnath in May: 8–18°C, rhododendrons in bloom","May is Tungnath's best month — 8–18°C, rhododendrons blazing along the trail and a clear Chandrashila summit. NakshIQ verdict: 5/5.",applied,2026-05-22
nainital,may,en,"Nainital in May: 15–25°C, but peak crowds","Weather's perfect at 15–25°C — the lake isn't. 60–90 min boat queues, tripled room rates, parking full by 9am. Mukteshwar stays calmer.",applied,2026-05-22
kasauli,may,en,"Kasauli in May: 18–30°C, pleasant midweek","Warm 18–30°C and pleasant, but plains families pack Mall Road and Monkey Point on weekends. Come midweek and book ahead. Verdict: 4/5.",applied,2026-05-22
kochi,may,en,"Kochi in May: 28–34°C, humid and squally","28–34°C, 85% humidity and pre-monsoon squalls — Kochi's heaviest stretch. Hotel rates bottom out mid-month if you go anyway. Verdict: 2/5.",applied,2026-05-22
mahabaleshwar,june,en,Mahabaleshwar in June: monsoon shuts viewpoints,Heavy monsoon sets in — viewpoints closed and landslide risk on the ghat roads. June starts the hill-station shutdown; plan for October instead.,applied,2026-05-22
bhopal,june,en,Bhopal in June: pre-monsoon peak heat,"June is Bhopal's pre-monsoon peak — dry, punishing heat before the rains. The lakes, Bhojpur shivling and Bhimbetka reward an Oct–March visit.",applied,2026-05-22
dhanaulti,may,en,"Dhanaulti in May: 14–25°C, camps running",Warm 14–25°C with every campsite open — and a weekend rush from Delhi. Come midweek and book ahead. NakshIQ verdict: 4/5.,applied,2026-05-22
valparai,may,en,"Valparai in May: 19–30°C, clear till mid-month",The first fortnight is workable at 19–30°C; the last 10 days bring the SW monsoon and landslide-watch on the 40-hairpin road. Verdict: 3/5.,applied,2026-05-22
kalpa,june,en,"Kalpa in June: 14–25°C, clear before the 20th",June opens pleasant at 14–25°C with clear Kinner Kailash views — until the monsoon's leading edge arrives around the 20th. Verdict: 5/5.,applied,2026-05-22
jaipur,july,en,"Jaipur in July: monsoon arrives, forts slippery","The monsoon reaches Jaipur — cooler than peak summer but humid, and the forts turn slippery underfoot. Pleasant light, awkward sightseeing. Verdict: 2/5.",applied,2026-05-22
