"priority_tier","festival_slug","festival_name","destination_name","state","month_name","approximate_date","full_prompt","negative_prompt","reference_image_url","aspect_ratio","duration_seconds","save_as","status"
"A","bhadarvi-poonam-mela","Bhadarvi Poonam Mela","Ambaji","gujarat","September","September (Bhadarvi Poonam full moon, typically early September)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: salt flats, Arabian Sea coast, white limestone establishing wide shot — no figures, no signage with text. Location: Ambaji, gujarat, India (the host destination of the Bhadarvi Poonam Mela festival — do NOT render the festival itself, only the place at this time of year). Time of day: afternoon clearing. Atmosphere: post-monsoon — lush green, crisp clarity, distant cumulus. Colour palette: vibrant greens + cobalt sky. Shot type: slow drone push-in along the horizon line. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: September.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/ambaji.jpg","16:9","6","bhadarvi-poonam-mela.mp4","pending"
"A","bhavnath-maha-shivaratri-mela","Bhavnath Maha Shivaratri Mela","Mount Girnar","gujarat","","Maha Shivaratri","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: salt flats, Arabian Sea coast, white limestone establishing wide shot — no figures, no signage with text. Location: Mount Girnar, gujarat, India (the host destination of the Bhavnath Maha Shivaratri Mela festival — do NOT render the festival itself, only the place at this time of year). Time of day: overcast midday. Atmosphere: early monsoon — cumulus clouds, intermittent rain breaks, fresh greens. Colour palette: cool grey-green + saturated blue. Shot type: slow drone push-in along the horizon line. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: .","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/girnar.jpg","16:9","6","bhavnath-maha-shivaratri-mela.mp4","pending"
"A","braj-holi-festival","Braj Holi Festival","Deeg","rajasthan","February","February–March (lunar calendar, Phalgun Shukla Paksha)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: open meadow with early-bloom wildflowers, no people. Location: Deeg, rajasthan, India (the host destination of the Braj Holi Festival festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: slow drone push-in along the horizon line. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/deeg.jpg","16:9","6","braj-holi-festival.mp4","pending"
"A","durga-puja","Durga Puja","Kolkata","west bengal","October","September-October (lunar calendar; 2026: late September / early October)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Hooghly riverbank colonial-era architecture (exterior), ferry wake, no figures establishing wide shot — no figures, no signage with text. Location: Kolkata, west bengal, India (the host destination of the Durga Puja festival — do NOT render the festival itself, only the place at this time of year). Time of day: evening golden hour. Atmosphere: autumn warmth, returning dust, soft sunset glow. Colour palette: warm gold + violet sky. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: October.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/kolkata.jpg","16:9","6","durga-puja.mp4","pending"
"A","goa-carnival-margao","Goa Carnival","Margao","goa","February","February 13-17 (February 15 in Margao)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Konkan coast, laterite cliffs, palm-fringed beach establishing wide shot — no figures, no signage with text. Location: Margao, goa, India (the host destination of the Goa Carnival festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/margao.jpg","16:9","6","goa-carnival-margao.mp4","pending"
"A","goa-carnival-panaji","Goa Carnival","Panaji","goa","February","February (3 days before Lent)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Konkan coast, laterite cliffs, palm-fringed beach establishing wide shot — no figures, no signage with text. Location: Panaji, goa, India (the host destination of the Goa Carnival festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/panaji.jpg","16:9","6","goa-carnival-panaji.mp4","pending"
"A","holi-festival-of-colours","Holi (Festival of Colours)","Mathura","uttar pradesh","March","Early March (lunar calendar; 2026: March 4-5)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: open meadow with early-bloom wildflowers, no people. Location: Mathura, uttar pradesh, India (the host destination of the Holi (Festival of Colours) festival — do NOT render the festival itself, only the place at this time of year). Time of day: afternoon to dusk. Atmosphere: pre-summer warmth, dust in the air, soft hazy light. Colour palette: warm earth tones, ochre. Shot type: low ground-level tracking through the foreground. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: March.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/mathura.jpg","16:9","6","holi-festival-of-colours.mp4","pending"
"A","lepakshi-brahmotsavam-maha-shivaratri","Lepakshi Brahmotsavam (Maha Shivaratri)","Lepakshi","andhra pradesh","February","February–March (Maha Shivaratri, Feb 15–16 typically)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Deccan plateau, granite outcrops, dry scrub establishing wide shot — no figures, no signage with text. Location: Lepakshi, andhra pradesh, India (the host destination of the Lepakshi Brahmotsavam (Maha Shivaratri) festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing with subtle parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/lepakshi.jpg","16:9","6","lepakshi-brahmotsavam-maha-shivaratri.mp4","pending"
"A","losar-tibetan-new-year-kalimpong","Losar (Tibetan New Year)","Kalimpong","west bengal","February","February","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: monastery exterior wide shot at altitude, empty courtyard, no flags or figures visible, light on stone. Location: Kalimpong, west bengal, India (the host destination of the Losar (Tibetan New Year) festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: low ground-level tracking through the foreground. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/kalimpong.jpg","16:9","6","losar-tibetan-new-year-kalimpong.mp4","pending"
"A","losar-tibetan-new-year-mcleodganj","Losar (Tibetan New Year)","McLeod Ganj","himachal pradesh","February","February 18-20","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: monastery exterior wide shot at altitude, empty courtyard, no flags or figures visible, light on stone. Location: McLeod Ganj, himachal pradesh, India (the host destination of the Losar (Tibetan New Year) festival — do NOT render the festival itself, only the place at this time of year). Time of day: blue hour. Atmosphere: deep winter in the hills — snow on ridges, frozen streams, low sun raking the slope. Colour palette: icy blue + warm tungsten pinpoints. Shot type: slow drone pull-back revealing the wider valley. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/mcleodganj.jpg","16:9","6","losar-tibetan-new-year-mcleodganj.mp4","pending"
